plad_id,leader,country,startyear,endyear,adm1,adm0,foreign_leader,geo_precision,latitude,longitude
ALG_1992_2,Kafi,Algeria,1992,1994,Skikda,Algeria,0,2,36.653099060058594,6.836400032043457
ALG_1994_1,Zeroual,Algeria,1994,1999,Batna,Algeria,0,1,35.560001373291016,6.170000076293945
ALG_1999_1,Bouteflika,Algeria,1999,2019,Oriental,Morocco,1,1,34.68288040161133,-1.9107999801635742
ALG_2019_1,Abdelkader Bensalah,Algeria,2019,2019,Tlemcen,Algeria,0,1,35.035099029541016,-1.5990999937057495
ALG_2019_2,Abdelmadjid Tebboune,Algeria,2019,2023,Naâma,Algeria,0,1,33.54452896118164,-0.2811700105667114
ANG_1979_1,Dos Santos,Angola,1979,2017,Luanda,Angola,0,1,-8.775429725646973,13.300979614257812
ANG_2017_1,Joao Lourenco,Angola,2017,2023,Benguela,Angola,0,1,-12.364399909973145,13.536009788513184
ARG_1989_1,Menem,Argentina,1989,1999,La Rioja,Argentina,0,1,-28.806629180908203,-66.94367218017578
ARG_1999_1,de la Rua,Argentina,1999,2001,Córdoba,Argentina,0,1,-31.41349983215332,-64.1810531616211
ARG_2001_1,Ramon Puerta,Argentina,2001,2001,Misiones,Argentina,0,1,-27.914209365844727,-55.7535514831543
ARG_2001_2,Adolfo Rodriguez Saa,Argentina,2001,2002,San Luis,Argentina,0,1,-33.29500961303711,-66.33563232421875
ARG_2002_1,Eduardo Duhalde,Argentina,2002,2003,Buenos Aires,Argentina,0,1,-34.75,-58.41667175292969
ARG_2003_1,Nestor Kirchner,Argentina,2003,2007,Santa Cruz,Argentina,0,1,-51.62260818481445,-69.21813201904297
ARG_2007_1,Fernandez de Kirchner,Argentina,2007,2015,Buenos Aires,Argentina,0,2,-34.884971618652344,-57.96670150756836
ARG_2015_1,Mauricio Macri,Argentina,2015,2019,Buenos Aires,Argentina,0,1,-37.32167053222656,-59.13315963745117
ARG_2019_1,Alberto Fernandez,Argentina,2019,2023,Ciudad de Buenos Aires,Argentina,0,1,-34.61315155029297,-58.37723159790039
ARG_2023_1,Javier Milei,Argentina,2023,2023,Ciudad de Buenos Aires,Argentina,0,1,-34.57434844970703,-58.42184066772461
ARM_1991_1,Ter-Petrosyan,Armenia,1991,1998,Aleppo,Syria,1,1,36.25,37.616668701171875
ARM_1998_1,Kocharian,Armenia,1998,2008,Yukhari-Karabakh,Azerbaijan,1,1,39.81769943237305,46.75279998779297
ARM_2008_1,Sargsyan,Armenia,2008,2018,Yukhari-Karabakh,Azerbaijan,1,1,39.81769943237305,46.75279998779297
